session_id,treatment,participant_gender,participant_age,participant_degree,participant_ethnicity,participant_politics,ml_fam,cj_fam,confidence,relative_confidence,self_reported_influence,self_reported_exp_usefulness,self_reported_ra_accuracy,self_reported_ra_fairness,self_reported_exp_ability,accountability,open_response_1,open_response_2,influence,participant_brier_score,false_positive_participant,ra_brier_score,false_positive_ra_black,false_positive_ra_white,false_positive_ra_diff,session_submit_time
3ZSANO2JCF7PL44YLBA04WY24AGFS2,2,Male,2,8,Caucasian,Democrat,2,3,4,4,4,3,3,3,3,3,,,0.7,0.840333333,4,0.818333333,1,0,1,55:37.0
30BUDKLTXDVW9O6RE4DMT33AEH8E5G,1,Male,2,8,Caucasian,Democrat,5,4,5,5,3,2,5,3,4,5,,,0.766666667,0.823,1,0.817666667,1,0,1,07:20.4
3HFNH7HEMHEJMOLG4RRDRHJDOJKQGD,4,Male,5,8,Caucasian,Democrat,2,4,4,4,3,3,3,2,3,1,"When the algorithm seemed reasonabler and non-discriminatory, I used it to tailor my evaluation. When it seemed discriminatory, I disregarded it.",I scanned them quickly  to influence my evaluation.,0.7,0.772,4,0.777,5,1,4,48:00.2
31LVTDXBL7AZKHEHSXDT9ZYQFWYLRO,1,Female,3,5,African-American,Independent,3,1,2,3,2,1,3,4,4,4,I mainly went with my gut and rarely let the algorithm influence me.,,0.6,0.754,1,0.740333333,5,1,4,54:25.7
36NEMU28XFDOYVDOR3OEWBLW88LWM7,5,Male,2,8,Caucasian,Democrat,3,3,3,3,3,4,3,3,3,2,I just used the numbers are a general guide but int he end made my own decisions.,I used it as a general guide but used my own judgement in the end.,0.8,0.732,3,0.738666667,2,1,1,53:20.2
31N2WW6R9RQL1NJJVW9ZWOQQD8NF39,3,Female,4,8,Latino/hispanic,Republican,2,2,3,3,3,2,3,3,3,3,I thought of my score and then checked the algorithm to see if the score was similar,I didn't,0.566666667,0.821333333,2,0.839,0,0,0,10:40.6
30BXRYBRP4X26HCD068146D0QU4WHV,1,Female,4,4,Caucasian,Independent,2,4,5,3,2,1,2,2,4,4,I just kept the algorithm score in mind while i made my own decisions but it didnt really play a role in my decision.,,0.7,0.747666667,1,0.798,1,2,-1,03:08.8
37W3JXSD668OSC22A6CPQ683HFJWYB,4,Female,3,7,Caucasian,Democrat,2,2,3,3,2,3,3,3,3,2,"I mainly looked at the number of priors and their age, if the algorithm seemed high i went with my gut",,0.666666667,0.775666667,1,0.817333333,2,0,2,35:24.8
38SKSKU7R1XMRIBY2AJKV7XZSMULI7,0,Male,2,9,Caucasian,Republican,4,5,5,5,0,0,0,0,0,0,,,,0.635,13,0.768666667,,,,11:17.5
3I02618YA06HRULWOJ15VRUURRIUPM,0,Female,3,8,Caucasian,Democrat,3,3,4,5,0,0,0,0,0,0,,,,0.727,4,0.797666667,,,,29:40.0
3S06PH7KSR4ST0R8HM0QKV882P21DS,1,Female,2,7,African-American,Democrat,2,3,3,3,2,3,2,3,3,3,,,0.766666667,0.711333333,1,0.803666667,1,0,1,29:01.1
3OHYZ19UGC5FRLVX3E7Z6QDAAJUAO9,0,Female,2,5,Caucasian,Republican,2,3,4,3,0,0,0,0,0,0,,,,0.776666667,6,0.821,,,,55:52.3
3L6L49WXW0XEHM9YPY19KHRJ1SE450,1,Female,3,8,Caucasian,Republican,2,3,4,3,3,2,3,4,5,3,"They influenced my decisions, but didn't make the final decision for me.  I took into consideration age, race, and priors",,0.733333333,0.779,4,0.814666667,1,1,0,51:05.8
3G5W44VEU7IXBLNLRM7GVV74P96KGL,3,Male,2,8,Caucasian,Democrat,3,5,4,3,4,4,3,4,5,4,,,0.866666667,0.747333333,10,0.814333333,1,1,0,15:53.7
3T111IHZ5EQ4JFD830A34Q7VF2H9RF,1,Male,2,8,Two or more,Democrat,3,4,4,4,5,5,4,3,3,5,I tended to trust the algorithim scores for the most part.,,0.766666667,0.814,2,0.814,2,0,2,04:44.8
