session_id,response_id,treatment,defendant_id,defendant_race,defendant_age,defendant_sex,defendant_priors,defendant_juv_fel_count,defendant_juv_misd_count,defendant_charge_degree,defendant_offense_type,task_order,ra_score,participant_score,participant_gender,participant_age,participant_degree,participant_ethnicity,participant_politics,actual_outcome,influence,deviation,task_sub_time
3ZSANO2JCF7PL44YLBA04WY24AGFS2,64a01294-0a33-48e2-984c-0d1744ca6c48,2,5561,African-American,29,male,7,0,0,F,drug crime,1,8,7,male,2,8,Caucasian,Democrat,1,0.333333333,-1,26:18.7
3ZSANO2JCF7PL44YLBA04WY24AGFS2,629c12f1-dfa5-4f46-8813-889727b1c091,2,4199,Caucasian,29,male,2,0,0,F,violent crime,2,5,6,male,2,8,Caucasian,Democrat,0,,1,26:41.7
3ZSANO2JCF7PL44YLBA04WY24AGFS2,4407efb4-6c91-4bdb-9290-5927751793c8,2,7142,Caucasian,58,male,0,0,0,M,obstruction of justice,3,2,5,male,2,8,Caucasian,Democrat,0,-0.764705882,3,27:47.9
3ZSANO2JCF7PL44YLBA04WY24AGFS2,9627b1ee-3d28-4a33-b16f-3c041756c17d,2,2644,African-American,24,female,1,0,0,M,violent crime,4,4,9,male,2,8,Caucasian,Democrat,1,,5,29:02.3
3ZSANO2JCF7PL44YLBA04WY24AGFS2,e20c0a1a-b3e9-4721-a644-d3cdda1c9f59,2,2426,African-American,28,male,8,0,0,M,violent crime,5,8,5,male,2,8,Caucasian,Democrat,1,-1.25,-3,32:20.2
3ZSANO2JCF7PL44YLBA04WY24AGFS2,a3bdd3f9-eb57-49b6-a53e-fa1f1923ca25,2,4397,Caucasian,63,male,2,0,0,F,public order crime,6,3,5,male,2,8,Caucasian,Democrat,0,-0.454545455,2,34:39.0
3ZSANO2JCF7PL44YLBA04WY24AGFS2,6e934aa8-6127-4f6f-bbe7-6a7e8aab0192,2,6458,African-American,25,male,1,0,0,F,drug crime,7,5,4,male,2,8,Caucasian,Democrat,1,,-1,37:21.6
3ZSANO2JCF7PL44YLBA04WY24AGFS2,275a0b81-09c1-4c4f-b64d-8d80f48d000d,2,4778,Caucasian,28,male,0,0,0,F,property crime,8,3,8,male,2,8,Caucasian,Democrat,1,8.142857143,5,44:23.2
3ZSANO2JCF7PL44YLBA04WY24AGFS2,199caadb-7926-42ba-8a09-31f63429d7f4,2,56,African-American,32,female,5,0,0,F,violent crime,9,6,3,male,2,8,Caucasian,Democrat,0,,-3,44:56.3
3ZSANO2JCF7PL44YLBA04WY24AGFS2,b6b40577-20d0-46bc-9b6a-cc3da3730100,2,2188,Caucasian,44,female,1,0,0,M,violent crime,10,3,6,male,2,8,Caucasian,Democrat,1,-2.375,3,46:25.8
3ZSANO2JCF7PL44YLBA04WY24AGFS2,15143af3-cf4f-42f7-a11d-46e266e997f3,2,5247,African-American,30,male,18,0,0,M,public order crime,11,9,5,male,2,8,Caucasian,Democrat,1,-3.5,-4,46:41.0
3ZSANO2JCF7PL44YLBA04WY24AGFS2,e4b7574d-3b62-4051-995f-55a57926e09b,2,4126,African-American,23,male,1,0,0,F,violent crime,12,5,8,male,2,8,Caucasian,Democrat,1,3,3,47:05.5
3ZSANO2JCF7PL44YLBA04WY24AGFS2,8890d96f-6c64-48dd-a000-b5e1fff08d09,2,3062,African-American,27,male,0,0,0,F,property crime,13,3,5,male,2,8,Caucasian,Democrat,0,3,2,48:33.6
3ZSANO2JCF7PL44YLBA04WY24AGFS2,72e1742a-f101-4cca-809f-adaece964561,2,436,Caucasian,32,male,1,0,0,F,arrested but not charged,14,3,5,male,2,8,Caucasian,Democrat,1,-0.625,2,48:46.2
3ZSANO2JCF7PL44YLBA04WY24AGFS2,4d3ed114-00c0-44ff-b79e-3dd7c608436b,2,4681,Caucasian,22,male,1,0,1,F,property crime,15,7,8,male,2,8,Caucasian,Democrat,1,1.44,1,49:11.1
3ZSANO2JCF7PL44YLBA04WY24AGFS2,a29c03b9-c5ff-405f-b819-35e57e16564f,2,1342,African-American,25,female,1,0,0,M,arrested but not charged,16,3,4,male,2,8,Caucasian,Democrat,0,,1,49:31.1
