age,priors_count.1,juv_fel_count,juv_misd_count,c_charge_degree,offense_type,is_recid,id
29,10.0,0,0,F,property crime,1,2887
29,5.0,7.0,0,F,property crime,1,2887
29,1,9.0,0,M,property crime,1,2887
58.0,0,0,0,M,property crime,0,5269
34.0,0,0,0,M,property crime,0,5269
55.0,0,0,4.0,M,property crime,0,5269
92.0,14.0,0,0,M,violent crime,1,2372
23,2.0,0,11.0,M,violent crime,1,2372
18.0,0,5.0,0,M,violent crime,1,2372
56.0,5,0,0,F,drug crime,0,6189
44.0,5,0,0,F,violent crime,0,6189
61.0,5,0,4.0,F,drug crime,0,6189
32,22.0,0,0,F,arrested but not charged,1,880
32,15.0,5.0,0,F,arrested but not charged,1,880
20.0,1,0,7.0,F,arrested but not charged,1,880
67.0,4,0,0,F,arrested but not charged,0,3230
30,0.0,0,0,M,property crime,0,3230
60.0,4,0,0,F,arrested but not charged,0,3230
50.0,8,7.0,0,M,arrested but not charged,0,1434
64.0,10.0,0,0,M,arrested but not charged,0,1434
27,0.0,14.0,0,M,arrested but not charged,0,1434
50,24.0,0,0,F,property crime,1,631
50,16.0,0,0,F,arrested but not charged,1,631
50,38.0,0,0,F,arrested but not charged,1,631
22,38.0,6.0,0,F,property crime,1,5046
22,33.0,0,0,F,obstruction of justice,1,5046
22,13.0,0,11.0,F,property crime,1,5046
69.0,32.0,0,0,F,drug crime,1,6285
23.0,2,16.0,0,F,drug crime,1,6285
55,26.0,6.0,0,F,drug crime,1,6285
54.0,27.0,0,0,M,violent crime,1,2410
24,0,17.0,5.0,M,violent crime,1,2410
24,21.0,17.0,0,M,violent crime,1,2410
32,5.0,0,9.0,F,arrested but not charged,0,1067
32,6.0,0,8.0,F,arrested but not charged,0,1067
71.0,17,2.0,6,F,arrested but not charged,0,1067
79.0,17.0,0,0,F,drug crime,1,5806
39,2,6.0,0,F,fraud and financial crime,1,5806
39,2,4.0,0,F,obstruction of justice,1,5806
58.0,4,0,0,F,violent crime,0,2403
73.0,33.0,0,0,M,violent crime,0,2403
66.0,4,0,10.0,M,violent crime,0,2403
54,8.0,0,0,M,weapons-related crime,1,3871
54,10.0,0,0,M,obstruction of justice,1,3871
29.0,30.0,0,0,M,public order crime,1,3871
65.0,4,0,1,F,violent crime,0,1869
77.0,4,0,9.0,M,violent crime,0,1869
69.0,4,0,2.0,M,violent crime,0,1869
40,30.0,0,13.0,M,violent crime,1,2130
19.0,0,0,0,M,violent crime,1,2130
40,21.0,0,0,M,violent crime,1,2130
21,14.0,0,0,M,obstruction of justice,1,3410
21,16.0,0,12.0,M,public order crime,1,3410
21,28.0,0,3.0,M,public order crime,1,3410
41,4,0,6.0,F,violent crime,0,6453
41,4,0,10.0,F,drug crime,0,6453
68.0,4,0,0,F,drug crime,0,6453
76.0,9,0,0,F,drug crime,0,5593
72.0,9,0,0,F,drug crime,0,5593
72.0,9,0,0,F,property crime,0,5593
61,18.0,0,1.0,M,public order crime,1,356
61,29.0,0,0,M,obstruction of justice,1,356
30.0,4,16.0,0,M,public order crime,1,356
55.0,5,0,1,M,weapons-related crime,0,2003
77.0,5,0,9.0,M,violent crime,0,2003
45.0,5,0,1,M,public order crime,0,2003
59,22.0,16.0,0,F,property crime,1,4630
58.0,18.0,0,0,F,property crime,1,4630
80.0,6.0,0,0,F,property crime,1,4630
44,1,9.0,2.0,M,violent crime,1,2349
44,16.0,0,0,M,drug crime,1,2349
81.0,1,0,0,M,property crime,1,2349
38,1,9.0,2.0,M,violent crime,1,2086
38,16.0,0,0,M,drug crime,1,2086
81.0,1,0,0,M,property crime,1,2086
55,8.0,0,0,M,weapons-related crime,1,3852
55,10.0,0,0,M,obstruction of justice,1,3852
18.0,0,0,12.0,M,public order crime,1,3852
94.0,4,0,9.0,F,property crime,1,4700
58,4,20.0,0,M,property crime,1,4700
80.0,4,0,4.0,F,property crime,1,4700
54,34.0,0,10.0,M,violent crime,1,1645
23.0,25.0,0,0,M,violent crime,1,1645
54,5.0,0,0,M,property crime,1,1645
32,6,0,7.0,F,violent crime,0,2149
64.0,6,0,0,M,violent crime,0,2149
32,6,0,9.0,M,obstruction of justice,0,2149
50,1.0,1.0,0,F,violent crime,0,63
50,3.0,5.0,0,F,violent crime,0,63
50,7,16.0,4.0,F,violent crime,0,63
50,10.0,18.0,0,F,violent crime,1,305
50,15.0,0,0,F,violent crime,1,305
50,16.0,0,0,F,violent crime,1,305
62.0,7,0,0,M,public order crime,0,3831
76.0,7,0,0,F,public order crime,0,3831
32,2.0,0,0,F,public order crime,0,3831
26,0.0,0,0,F,weapons-related crime,0,4815
69.0,2,0,0,F,fraud and financial crime,0,4815
67.0,2,0,0,F,obstruction of justice,0,4815
41,38.0,6.0,0,F,property crime,1,4424
41,18.0,0,0,M,property crime,1,4424
41,12.0,0,0,F,property crime,1,4424
59.0,2,0,0,F,public order crime,0,6219
73.0,2,0,0,F,drug crime,0,6219
57.0,2,0,11.0,F,drug crime,0,6219
53,31.0,9.0,0,F,fraud and financial crime,1,5463
86.0,4,0,0,F,fraud and financial crime,1,5463
84.0,4,0,13.0,F,fraud and financial crime,1,5463
27,1,0,10.0,M,public order crime,1,2045
27,1,17.0,9.0,M,violent crime,1,2045
27,1,4.0,0,F,violent crime,1,2045
28,15.0,0,0,M,violent crime,1,2295
28,15.0,0,0,F,violent crime,1,2295
28,28.0,0,0,M,fraud and financial crime,1,2295
56,16.0,8.0,0,M,violent crime,1,2643
56,31.0,0,0,M,violent crime,1,2643
