age,priors_count.1,juv_fel_count,juv_misd_count,c_charge_degree,offense_type,is_recid,id
26.0,36.0,0,0,F,property crime,1,2887
95.0,25.0,0,0,F,property crime,1,2887
78.0,9.0,0,0,F,property crime,1,2887
80.0,0,0,0,F,property crime,0,5269
72.0,28.0,0,0,M,property crime,0,5269
40.0,0,0,0,M,property crime,0,5269
34.0,36.0,0,0,M,violent crime,1,2372
90.0,38.0,0,0,M,violent crime,1,2372
23,3.0,0,0,M,violent crime,1,2372
75.0,2.0,0,0,F,drug crime,0,6189
81.0,0.0,0,0,F,drug crime,0,6189
63.0,5,0,0,F,drug crime,0,6189
31.0,16.0,0,0,F,arrested but not charged,1,880
18.0,8.0,0,0,F,arrested but not charged,1,880
32,28.0,0,0,F,arrested but not charged,1,880
42.0,0.0,0,0,F,property crime,0,3230
75.0,38.0,0,0,F,property crime,0,3230
69.0,4,0,0,F,property crime,0,3230
34.0,2.0,0,0,M,arrested but not charged,0,1434
72.0,29.0,0,0,M,arrested but not charged,0,1434
62.0,8,0,0,M,arrested but not charged,0,1434
89.0,1.0,0,0,F,arrested but not charged,1,631
81.0,6.0,0,0,F,arrested but not charged,1,631
50,30.0,0,0,M,arrested but not charged,1,631
35.0,19.0,0,0,F,property crime,1,5046
67.0,35.0,0,0,F,property crime,1,5046
30.0,31.0,0,0,F,property crime,1,5046
20.0,2,0,0,F,drug crime,1,6285
54.0,28.0,0,0,F,drug crime,1,6285
55,33.0,0,0,F,drug crime,1,6285
55.0,19.0,0,0,M,violent crime,1,2410
28.0,10.0,0,0,M,violent crime,1,2410
24,3.0,0,0,M,violent crime,1,2410
61.0,3.0,0,6,F,arrested but not charged,0,1067
75.0,38.0,0,6,F,arrested but not charged,0,1067
72.0,29.0,0,6,F,arrested but not charged,0,1067
67.0,5.0,0,0,F,drug crime,1,5806
39,7.0,0,0,M,drug crime,1,5806
39,33.0,0,0,F,drug crime,1,5806
55.0,4,0,0,M,violent crime,0,2403
