id,age,priors_count.1,juv_fel_count,juv_misd_count,c_charge_degree,offense_type
2887,26,36,0,0,0,0
2887,95,25,0,0,0,0
2887,78,9,0,0,0,0
5269,80,0,0,0,F,0
5269,72,28,0,0,0,0
5269,40,0,0,0,0,0
2372,34,36,0,0,0,0
2372,90,38,0,0,0,0
2372,0,3,0,0,0,0
6189,75,2,0,0,0,0
6189,81,0,0,0,0,0
6189,63,0,0,0,0,0
880,31,16,0,0,0,0
880,18,8,0,0,0,0
880,0,28,0,0,0,0
3230,42,0,0,0,0,0
3230,75,38,0,0,0,0
3230,69,0,0,0,0,0
1434,34,2,0,0,0,0
1434,72,29,0,0,0,0
1434,62,0,0,0,0,0
631,89,1,0,0,0,0
631,81,6,0,0,0,0
631,0,30,0,0,M,0
5046,35,19,0,0,0,0
5046,67,35,0,0,0,0
5046,30,31,0,0,0,0
6285,20,0,0,0,0,0
6285,54,28,0,0,0,0
6285,0,33,0,0,0,0
2410,55,19,0,0,0,0
2410,28,10,0,0,0,0
2410,0,3,0,0,0,0
1067,61,3,0,0,0,0
1067,75,38,0,0,0,0
1067,72,29,0,0,0,0
5806,67,5,0,0,0,0
5806,0,7,0,0,M,0
5806,0,33,0,0,0,0
2403,55,0,0,0,0,0
2403,65,0,0,0,F,0
2403,64,0,0,0,0,0
3871,0,10,0,0,0,0
3871,81,36,0,0,0,0
3871,91,30,0,0,0,0
1869,0,1,0,0,0,0
1869,53,0,0,0,F,0
1869,60,0,0,0,0,0
2130,54,32,0,0,0,0
2130,23,16,0,0,0,0
2130,0,28,0,0,F,0
3410,23,16,0,0,0,0
3410,0,19,0,0,F,0
3410,0,3,0,0,0,0
6453,72,0,0,0,M,0
6453,77,7,0,0,0,0
6453,55,3,0,0,0,0
5593,71,11,0,0,0,0
5593,55,3,0,0,0,0
5593,42,0,0,0,0,0
356,20,0,0,0,F,0
356,20,30,0,0,0,0
356,49,9,0,0,0,0
2003,74,0,0,0,0,0
2003,0,1,0,0,F,0
2003,37,0,0,0,0,0
4630,88,6,0,0,0,0
4630,69,29,0,0,0,0
4630,0,6,0,0,M,0
2349,63,26,0,0,0,0
2349,41,33,0,0,0,0
2349,0,8,0,0,F,0
2086,79,0,0,0,F,0
2086,28,11,0,0,0,0
2086,0,29,0,0,0,0
3852,0,10,0,0,0,0
3852,81,36,0,0,0,0
3852,91,30,0,0,0,0
4700,96,28,0,0,0,0
4700,24,0,0,0,0,0
4700,82,0,0,0,M,0
1645,39,22,0,0,0,0
1645,62,18,0,0,0,0
1645,82,35,0,0,0,0
2149,76,0,0,0,F,0
2149,66,0,0,0,F,0
2149,70,0,0,0,0,0
63,0,5,0,0,0,0
63,76,1,0,0,0,0
63,72,27,0,0,0,0
305,0,24,0,0,0,0
305,19,17,0,0,0,0
305,0,38,0,0,0,0
3831,95,27,0,0,0,0
3831,71,34,0,0,0,0
3831,40,5,0,0,0,0
4815,45,0,0,0,0,0
4815,27,1,0,0,0,0
4815,90,0,0,0,0,0
4424,34,0,0,0,M,0
4424,27,16,0,0,0,0
4424,0,10,0,0,0,0
6219,39,0,0,0,M,0
6219,44,0,0,0,M,0
6219,39,0,0,0,0,0
5463,48,13,0,0,0,0
5463,0,35,0,0,0,0
5463,20,25,0,0,0,0
2045,31,16,0,0,0,0
2045,0,8,0,0,F,0
2045,39,22,0,0,0,0
2295,19,0,0,0,0,0
2295,0,37,0,0,F,0
2295,0,3,0,0,0,0
2643,59,30,0,0,0,0
2643,62,37,0,0,0,0
2643,37,11,0,0,0,0
4867,0,1,0,0,0,0
4867,55,3,0,0,0,0
4867,36,2,0,0,0,0
6236,0,33,0,0,0,0
6236,19,17,0,0,0,0
6236,58,6,0,0,0,0
4717,70,0,0,0,0,0
4717,55,3,0,0,0,0
4717,72,27,0,0,0,0
3072,72,0,0,0,0,0
3072,95,27,0,0,0,0
3072,70,0,0,0,0,0
4054,33,32,0,0,0,0
4054,61,6,0,0,0,0
4054,0,10,0,0,0,0
193,79,27,0,0,0,0
193,72,29,0,0,0,0
193,59,0,0,0,0,0
2081,96,28,0,0,0,0
2081,54,32,0,0,0,0
