id,age,sex,race,priors_count.1,juv_fel_count,juv_misd_count,c_charge_degree,offense_type,real_outcome,alg_outcome,alg_risk_score,alg_risk_score_decile,alg_risk_desc
2887,29,female,Caucasian,1,0,0,F,property crime,1,0,0.3756459772280792,4.0,low
5269,21,male,African-American,0,0,0,M,property crime,1,1,0.500082623983875,5.0,medium
2372,23,male,African-American,0,0,0,M,violent crime,0,0,0.3117046550910515,3.0,low
6189,28,male,African-American,5,0,0,F,drug crime,0,1,0.7459306076295852,7.0,medium
880,32,male,African-American,1,0,0,F,arrested but not charged,0,0,0.29113157509494975,3.0,low
3230,30,female,African-American,4,0,0,F,property crime,0,1,0.7576998927242811,8.0,high
1434,27,male,African-American,8,0,0,M,arrested but not charged,1,1,0.7237639737265378,7.0,medium
631,50,male,Caucasian,0,0,0,F,arrested but not charged,1,0,0.20076843258542104,2.0,low
5046,22,male,Hispanic,0,0,0,F,property crime,1,0,0.4759564923717426,5.0,medium
6285,55,female,Caucasian,2,0,0,F,drug crime,0,0,0.43242052569268735,4.0,low
2410,24,male,African-American,0,0,0,M,violent crime,1,0,0.2817556497576287,3.0,low
1067,32,male,African-American,17,0,6,F,arrested but not charged,1,1,0.9032732234427608,9.0,high
5806,39,male,Caucasian,2,0,0,F,drug crime,1,0,0.46516014809917855,5.0,medium
2403,28,male,African-American,4,0,0,M,violent crime,1,1,0.6691872363674967,7.0,medium
3871,54,female,Caucasian,0,0,0,M,public order crime,0,0,0.1570865630858222,2.0,low
1869,27,male,Caucasian,4,0,1,M,violent crime,1,1,0.6887636637244917,7.0,medium
2130,40,male,African-American,0,0,0,M,violent crime,0,0,0.20148219385464944,2.0,low
3410,21,male,African-American,0,0,0,M,public order crime,1,0,0.4546052040341978,5.0,medium
6453,41,male,Caucasian,4,0,0,F,drug crime,1,1,0.5269218580646288,5.0,medium
5593,28,male,African-American,9,0,0,F,drug crime,1,1,0.8768321517542781,9.0,high
356,61,male,African-American,4,0,0,M,public order crime,1,0,0.2996416524695932,3.0,low
2003,33,male,Caucasian,5,0,1,M,violent crime,1,1,0.599009662513097,6.0,medium
4630,59,female,Caucasian,1,0,0,F,property crime,0,0,0.26189352928594106,3.0,low
2349,44,male,Caucasian,1,0,0,M,violent crime,1,0,0.2739562144704394,3.0,low
2086,38,female,Caucasian,1,0,0,M,violent crime,1,0,0.2767330598977409,3.0,low
3852,55,male,Caucasian,0,0,0,M,public order crime,0,0,0.16804221162401636,2.0,low
4700,58,female,African-American,4,0,0,F,property crime,0,0,0.491464668531147,5.0,medium
1645,54,male,African-American,2,0,0,M,violent crime,0,0,0.3340522160561941,3.0,low
2149,32,male,African-American,6,0,0,M,violent crime,1,1,0.624379483517183,6.0,medium
63,50,male,African-American,7,0,0,F,violent crime,0,1,0.6329667960903685,6.0,medium
305,50,male,African-American,0,0,0,F,violent crime,0,0,0.2073749122128974,2.0,low
3831,32,male,Hispanic,7,0,0,F,public order crime,0,1,0.717442369529956,7.0,medium
4815,26,male,Caucasian,2,0,0,F,property crime,1,1,0.6847956071650514,7.0,medium
4424,41,male,Asian,2,0,0,F,property crime,1,0,0.41000684639686946,4.0,low
6219,21,male,African-American,2,0,0,F,drug crime,1,1,0.7514130056197138,8.0,high
5463,53,female,Caucasian,4,0,0,F,fraud and financial crime,1,0,0.309985955302015,3.0,low
2045,27,male,Caucasian,1,0,0,M,violent crime,0,0,0.4413571255189193,4.0,low
2295,28,male,Hispanic,0,0,0,M,violent crime,1,0,0.2641260999337703,3.0,low
2643,56,male,Other,0,0,0,M,violent crime,0,0,0.16139426259004336,2.0,low
4867,27,male,Caucasian,5,0,0,F,property crime,0,1,0.7891205423773354,8.0,high
6236,51,male,African-American,3,0,0,F,drug crime,0,0,0.48655228398468164,5.0,medium
4717,39,female,African-American,6,0,1,F,property crime,0,1,0.6235649604950398,6.0,medium
3072,23,male,African-American,4,1,1,F,property crime,0,1,0.8278243470964731,8.0,high
